,,,,,,,Na,,Na%,,Na2O,,Na2O%,,Mg,,Mg%,,MgO,,MgO%,,Cl,,K,,K%,,K2O,,K2O%,,Sc,,Ti,,Ti%,,TiO2,,TiO2%,,Mn,,Mn%,,MnO,,MnO%,,Fe,,Fe%,,FeO%,,Fe2O3,,Fe2O3%,,Co,,Zn,,Ga,,Rb,,Sr,,Y,,Zr,,Nb,,Sb,,Cs,,Ba,,La,,Ce,,Nd,,Tb,,Dy,,Sm,,Eu,,Yb,,Lu,,Hf,,Ta,,Pb,,Th,,U,
Smith et al 2007,MEX086,Sierra de Pachuca,Source,,INAA,1,38500,,3.85,,,,,,,,,,,,,,1267,,39442.9,,3.83,,,,,,,,,,,,,,,,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,16.13,,,,,,,,,,,,,,,,,,,
Smith et al 2007,MEX086,Sierra de Pachuca,Source,,INAA,1,37900,,3.79,,,,,,,,,,,,,,1478,,39442.9,,3.61,,,,,,,,,,,,,,,,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,17.85,,,,,,,,,,,,,,,,,,,
Smith et al 2007,MEX086,Sierra de Pachuca,Source,,INAA,1,37100,,3.71,,,,,,,,,,,,,,1302,,39442.9,,3.63,,,,,,,,,,,,,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14.83,,,,,,,,,,,,,,,,,,,
Weaver and Stross 1965,MEX086,Pachuca,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,200,,305,,,,,,,,,,140,,,,,,,,180,,,,,,,,1880,,,,,,,,,,,,78,,,,140,,,,,,720,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elbert et al 2015,MEX087,Zaragoza,Artifacts,,EDXRF,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,6,,,,,,,10601,1216,,,,,,,,,,,53,,17,2,153,19,34,3,34,3,199,18,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,
Pool et al 2014,MEX087,Zaragoza,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,41581,,,,,,,,,,958,,,,,,,,272,,,,,,,,8908,,,,,,,,,,,,,,36,,15,,119,,28,,26,,176,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool et al 2014,MEX087,Zaragoza,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,38784,,,,,,,,,,756,,,,,,,,239,,,,,,,,9913,,,,,,,,,,,,,,36,,16,,134,,31,,27,,206,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool et al 2014,MEX087,Zaragoza,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,38493,,,,,,,,,,882,,,,,,,,209,,,,,,,,8550,,,,,,,,,,,,,,37,,16,,129,,31,,29,,176,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith et al 2007,MEX087,Zaragoza,Source,,INAA,1,29500,,2.95,,,,,,,,,,,,,,574,,39900,,3.99,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,,,5.53,,,,,,,,,,,,,,,,,,,
Smith et al 2007,MEX087,Zaragoza,Source,,INAA,1,29000,,2.9,,,,,,,,,,,,,,533,,39000,,3.9,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,4.62,,,,,,,,,,,,,,,,,,,
Smith et al 2007,MEX087,Zaragoza,Source,,INAA,1,29500,,2.95,,,,,,,,,,,,,,490,,43400,,4.34,,,,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,
Darling and Hayashida 1995,MEX088,Huitzila,Artifact,,NAA,64,34000,400,3.4,0.04,,,,,,,,,,,,,716,78,37600,1700,3.76,0.17,,,,,0.785,0.031,,,,,,,,,425,26,,,,,,,16800,200,1.68,0.02,,,,,,,,,113,5,,,128,2,,,,,568,14,,,0.403,0.031,2.54,0.004,,,77.3,3.2,154,4,62.7,4.1,1.84,0.05,11.6,0.5,12.9,0.5,0.183,0.004,7.27,0.26,1.05,0.02,15.4,0.4,3.19,0.05,,,14.2,0.2,3.46,0.17
Glascock et al 2010,MEX088,Huitzila,Source Samples,,INAA,50,34200,300,3.42,0.03,,,,,,,,,,,,,704,79,37300,1700,3.73,0.17,,,,,0.8,0.02,,,,,,,,,429,27,,,,,,,16900,200,1.69,0.02,,,,,,,0.04,0.01,112,5,,,128,2,,,,,563,8,,,,,,,2.52,0.03,78.4,1.9,,,,,,,,,,,,,,,,,,,,,,,14.1,0.2,3.4,0.2
Glascock et al 2010,MEX088,Huitzila,Source Samples,,EDXRF,17,,,,,,,,,,,,,,,,,,,37100,1900,3.71,0.19,,,,,,,1047116,116,,,,,,,227,13,,,,,,,16300,1400,1.63,0.14,,,,,,,,,129,14,20,1,127,5,3,1,64,9,623,27,55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,,,,,,,,395,,,,,,,,10434,,,,,,,,,,,,43,,,,264,,39,,63,,167,,37,,,,,,283,,,,,,,,,,,,,,,,,,,,,,,,26,,38,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162,,,,,,,,356,,,,,,,,10444,,,,,,,,,,,,54,,,,315,,44,,73,,174,,36,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,28,,33,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,,401,,,,,,,,12099,,,,,,,,,,,,53,,,,304,,43,,65,,173,,36,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,28,,36,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,,,,,,,,289,,,,,,,,8525,,,,,,,,,,,,48,,,,269,,38,,58,,158,,31,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,26,,39,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361,,,,,,,,409,,,,,,,,13056,,,,,,,,,,,,59,,,,300,,41,,62,,169,,40,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,29,,38,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,322,,,,,,,,9191,,,,,,,,,,,,47,,,,291,,41,,60,,169,,34,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,27,,33,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,,,,,,,,318,,,,,,,,8962,,,,,,,,,,,,46,,,,288,,40,,66,,167,,33,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,28,,37,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008,,,,,,,,311,,,,,,,,9230,,,,,,,,,,,,47,,,,299,,40,,64,,169,,39,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,26,,39,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,,,,,,,,338,,,,,,,,9565,,,,,,,,,,,,47,,,,297,,38,,62,,168,,36,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,27,,48,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX089,Sierra Fresnal East,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,,,,,,,,309,,,,,,,,11423,,,,,,,,,,,,,,,,324,,40,,67,,172,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX090,Sierra Fresnal West,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,,,,,,,,334,,,,,,,,9946,,,,,,,,,,,,52,,,,307,,42,,63,,169,,38,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,30,,39,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX090,Sierra Fresnal West,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,,,,,,,,318,,,,,,,,10540,,,,,,,,,,,,43,,,,301,,43,,64,,168,,37,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,24,,45,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX090,Sierra Fresnal West,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,,,,,,,,293,,,,,,,,10064,,,,,,,,,,,,44,,,,287,,39,,65,,160,,35,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,23,,39,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX090,Sierra Fresnal West,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199,,,,,,,,335,,,,,,,,10743,,,,,,,,,,,,47,,,,311,,43,,65,,164,,41,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,24,,40,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX090,Sierra Fresnal West,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174,,,,,,,,295,,,,,,,,10601,,,,,,,,,,,,44,,,,298,,43,,70,,159,,36,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,24,,38,,,
http://www.swxrflab.net//sierra_fresnal.htm,MEX090,Sierra Fresnal West,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158,,,,,,,,317,,,,,,,,10582,,,,,,,,,,,,46,,,,304,,42,,63,,160,,36,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,26,,46,,,
Glascock et al 2010,MEX091,Las Navajas 1,Source Samples,,INAA,9,44500,800,4.45,0.08,,,,,,,,,,,,,961,37,31900,2500,3.19,0.25,,,,,,,,,,,,,,,1260,23,,,,,,,42800,300,4.28,0.03,,,,,,,0.128,0.006,242,3,,,157,11,,,,,906,15,,,0.55,0.01,3.4,0.01,48,7,92.6,0.8,194,2,80.6,2.5,3.19,0.02,20.2,0.8,17.5,0.2,2.64,0.02,10.6,0.2,1.49,0.01,23.8,0.2,6.21,0.04,,,17.1,0.8,8.02,0.16
Glascock et al 2010,MEX091,Las Navajas 1,Source Samples,,EDXRF,9,,,,,,,,,,,,,,,,,,,27300,4200,2.73,0.42,,,,,,,2330,54,,,,,,,948,108,,,,,,,48900,4600,4.89,0.46,,,,,,,,,262,18,24,1,152,2,9,2,134,19,974,49,112,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glascock et al 2010,MEX092,Las Navajas 2,Source Samples,,INAA,5,46200,1000,4.62,0.1,,,,,,,,,,,,,1189,33,30600,1500,3.06,0.15,,,,,,,,,,,,,,,1361,19,,,,,,,44200,400,4.42,0.04,,,,,,,0.141,0.011,270,4,,,185,2,,,,,1078,9,,,0.62,0.02,3.99,0.01,85,19,107,1,225,2,88.1,2.5,3.69,0.04,23.2,1.1,19.4,0.2,3.33,0.03,12.1,0.1,1.69,0.01,28,0.3,7.56,0.05,,,21.5,0.2,9.73,0.45
Glascock et al 2010,MEX092,Las Navajas 2,Source Samples,,EDXRF,5,,,,,,,,,,,,,,,,,,,36600,2800,3.66,0.28,,,,,,,2265,104,,,,,,,1034,51,,,,,,,39400,3600,3.94,0.36,,,,,,,,,249,18,26,1,180,3,10,1,104,19,1024,44,108,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espino et al 2010,MEX093,Zinapecuaro A,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,199,,6,,44,,115,,16,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,21,,20,,,
Espino et al 2010,MEX093,Zinapecuaro A,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,196,,6,,44,,113,,15,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,19,,18,,,
Espino et al 2010,MEX094,Zinapecuaro B,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,202,,5,,45,,110,,15,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,20,,19,,,
Espino et al 2010,MEX094,Zinapecuaro B,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,199,,5,,45,,114,,16,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,21,,18,,,
Espino et al 2010,MEX095,Zinapecuaro C,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,190,,5,,42,,109,,14,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,19,,18,,,
Espino et al 2010,MEX095,Zinapecuaro C,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,197,,5,,44,,115,,17,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,20,,19,,,
Macdonald et al 1992,MEX096,La Derrumbadas Region,Source Sample,,AC and INAA,1,32418.9415940626,,3.24189415940626,,,,4.37,,120.605383947401,,0.0120605383947401,,,,0.02,,0.06,,34616.896683511,,3.4616896683511,,,,4.17,,,,179.819729594392,,0.0179819729594392,,,,0.03,,387.225464490118,,0.0387225464490118,,,,0.05,,2238.13638925418,,0.223813638925418,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,MEX096,La Derrumbadas Region,Source Sample,,AC and INAA,1,32789.8676992578,,3.27898676992578,,,,4.42,,180.908075921102,,0.0180908075921102,,,,0.03,,0.01,,34450.8684020553,,3.44508684020553,,,,4.15,,,,119.879819729594,,0.0119879819729594,,,,0.02,,929.341114776284,,0.0929341114776284,,,,0.12,,629.475859477738,,0.0629475859477738,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,MEX096,La Derrumbadas Region,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,128,,111,,8,,54,,13,,,,5.2,,1040,,13,,24,,10,,,,,,3,,0.51,,,,0.02,,2.3,,1.33,,20,,4.2,,3.6,
Macdonald et al 1992,MEX096,La Derrumbadas Region,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,50,,,,210,,7,,25,,22,,19,,0.8,,10.6,,10,,5,,14,,7,,,,,,2.4,,0.06,,,,0.36,,2.1,,2.57,,20,,5.8,,6.4,
Macdonald et al 1992,MEX097,Los Humeros,Source Sample,,AC and INAA,1,31157.7928363988,,3.11577928363988,,,,4.2,,180.908075921102,,0.0180908075921102,,,,0.03,,0.14,,38684.5895791753,,3.86845895791753,,,,4.66,,,,599.399098647972,,0.0599399098647972,,,,0.1,,232.335278694071,,0.0232335278694071,,,,0.03,,3986.68044335901,,0.398668044335901,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,MEX097,Los Humeros,Source Sample,,AC and INAA,1,29822.458857696,,2.9822458857696,,,,4.02,,241.210767894802,,0.0241210767894802,,,,0.04,,0.09,,37605.4057497134,,3.76054057497134,,,,4.53,,,,659.339008512769,,0.0659339008512769,,,,0.11,,387.225464490118,,0.0387225464490118,,,,0.05,,3287.26282171708,,0.328726282171708,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,MEX097,Los Humeros,Source Sample,,AC and INAA,1,36944.2400774443,,3.69442400774443,,,,4.98,,1206.05383947401,,0.120605383947401,,,,0.2,,0.12,,40759.9430973714,,4.07599430973714,,,,4.91,,,,1798.19729594392,,0.179819729594392,,,,0.3,,464.670557388142,,0.0464670557388142,,,,0.06,,5875.10802179222,,0.587510802179222,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,MEX097,Los Humeros,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,31,,,,160,,5,,38,,150,,19,,,,4.6,,126,,43,,79,,28,,,,,,6.4,,0.19,,,,0.53,,5.1,,2.14,,20,,23.3,,6.7,
Macdonald et al 1992,MEX097,Los Humeros,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,21,,,,129,,17,,29,,124,,15,,,,3.3,,430,,37,,67,,25,,,,,,5,,0.31,,,,0.41,,4.1,,1.7,,19,,18.2,,5.1,
Macdonald et al 1992,MEX097,Los Humeros,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,32,,,,152,,55,,31,,367,,20,,,,5.2,,673,,38,,70,,25,,,,,,5.6,,0.67,,,,0.47,,9,,1.71,,16,,19.7,,6.4,
Macdonald et al 1992,MEX098,Piedra Bola,Source Sample,,AC and INAA,1,30935.2371732817,,3.09352371732817,,,,4.17,,542.724227763305,,0.0542724227763305,,,,0.09,,0.1,,39431.7168457259,,3.94317168457259,,,,4.75,,,,839.158738107161,,0.0839158738107161,,,,0.14,,387.225464490118,,0.0387225464490118,,,,0.05,,2867.61224873192,,0.286761224873192,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,MEX098,Piedra Bola,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,32,,,,156,,33,,22,,146,,20,,0.6,,5.4,,310,,32,,60,,25,,,,,,4.6,,0.22,,,,0.41,,5,,1.93,,17,,17.2,,7.1,
Glascock et al 2005,MEX099,Cerro Varal,Artifact,,LA-ICP-MS,26,,,2.94,0.05,,,,,,,,,,,,,426,35,36500,,3.65,0.13,,,,,2.13,0.05,,,,,,,,,374,8,,,,,,,7050,,0.705,0.028,,,,,,,0.49,0.16,35.3,7.8,,,125,2,121,27,,,140,9,,,0.36,0.02,3.74,0.06,594,28,27.9,0.5,53,0.9,18.7,2.5,0.51,0.03,3.26,0.19,3.71,0.06,0.41,0.02,2.25,0.1,0.39,0.01,4.12,0.12,1.54,0.03,,,11.7,0.2,3.65,0.26
Panich et al 2017,MEX100,Tinajas,Geological,,EDXRF,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.7,24.7,,,,,,,,,,,,,,,,,,,,,,,147.9,6.6,47.3,8.5,36.4,2.5,119.7,5.7,6.8,2.8,,,,,1245.8,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley Letter 2014_1,MEX101,Chihuahua Unknown A,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,,,,,,,,400,,,,,,,,1196,2,,,,,,,,,,,,,,,250,,79,,23,,139,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,33,,,
Ritter et al 1995,MEX102,Tres Virgenes,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.62,,85.12,,,,157.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritter et al 1995,MEX102,Tres Virgenes,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.95,,86.07,,,,154.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritter et al 1995,MEX102,Tres Virgenes,Source Samples,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71,,73.68,,,,135.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.11,,,,,,,,250.24,,,,,,,,11180,,,,,,,,,,,,,,,,95.42,,82.98,,23,,144.19,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.89,,,,,,,,220.03,,,,,,,,11140,,,,,,,,,,,,,,,,96.75,,85.17,,21.87,,142.82,,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.39,,,,,,,,216.31,,,,,,,,10980,,,,,,,,,,,,,,,,94.81,,80.56,,20.29,,142.6,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.05,,,,,,,,175.61,,,,,,,,10390,,,,,,,,,,,,,,,,91.91,,71.53,,20.22,,124.59,,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.73,,,,,,,,176.68,,,,,,,,10277,,,,,,,,,,,,,,,,85.37,,72.07,,20.85,,135.03,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.3,,,,,,,,166.53,,,,,,,,9972,,,,,,,,,,,,,,,,86.26,,75.02,,19.98,,128.78,,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackley 2007,MEX102,Valle del Azufre Tres Virgenes,Source,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.62,,,,,,,,168.06,,,,,,,,10581,,,,,,,,,,,,,,,,90.76,,83.05,,21.28,,131.96,,10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kshirsagar et al 2015,MEX107,La Cañada,Source Sample,ZAC-11144,INAA* FICP* TDICP,1,31899.6450467893,,3.18996450467893,,,,4.3,,482.421535789604,,0.0482421535789604,,,,0.08,,,,35031.9673871502,,3.50319673871502,,,,4.22,,3.1,,401.597396094141,,0.0401597396094141,,,,0.067,,495.648594547351,,0.0495648594547351,,,,0.064,,15037.4788653015,,1.50374788653015,,,,,,2.15,,5,,75,,88.93,,3.1,,409.6,,5,,2.6,,12.7,,,,4,,13,,75,,,,,,,,,,,,,,,,,,,,,,14,,9.08,,3.19,
Glascock et al 1998,MEX108,El Encinal,Source Sample,,INAA,10,,,3.69,0.16,,,,,,,,,,,,,1280,110,,,3.77,0.2,,,,,0.717,0.009,,,,,,,,,,,430,21,,,,,,,1.76,0.02,,,,,,,0.037,0.007,170,2,,,120,2,,,,,721,27,,,1.71,0.02,5.73,0.07,733,21,72.9,0.6,158,2,74,2.1,2.29,0.02,16.5,0.9,16.6,0.3,1.61,0.03,8.72,0.07,,,18,0.5,2.31,0.03,,,11.7,0.1,3.68,0.12
Aggen 2007,NIC001,Lake Nicaragua,Source Sample,,ICP-MS,1,32150,,,,,,,,,,,,,,,,,,22100,,,,,,,,,,,,,,,,,,626,,,,,,,,11280,,,,,,,,,,,,,,,,65.25,,,,,,,,,,,,2.075,,1752,,14.75,,32.975,,,,,,,,,,,,,,,,,,0.274,,,,3.32,,1.435,
Sheets et al 1990,NIC001,Northeast Shore Lake Nicaragu,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheets et al 1990,NIC001,Northeast Shore Lake Nicaragu,Source Sample,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheets et al 1990,NIC001,Northeast Shore Lake Nicaragu,Source Sample,,EDXRF,1,32700,,3.27,0.06,,,,,,,,,,,,,,,25400,,2.54,0.33,,,,,,,,,,,,,,,640,13,,,,,,,10800,120,1.08,0.012,,,,,,,,,,,,,62.9,2.7,,,,,,,,,,,1.76,0.07,1624,40,12.3,0.5,26,0.45,,,,,,,,,,,,,,,,,,,,,3.13,0.03,1.37,0.02
Sheets et al 1990,NIC001,Northeast Shore Lake Nicaragu,Source Sample,,EDXRF,1,31600,,3.16,0.06,,,,,,,,,,,,,,,29900,,2.99,0.31,,,,,,,,,,,,,,,611,12,,,,,,,11750,130,1.175,0.013,,,,,,,,,,,,,67.3,3,,,,,,,,,,,2.34,0.12,1873,47,17.1,0.6,39.9,0.5,,,,,,,,,,,,,,,,,,,,,3.5,0.04,1.5,0.02
Aggen 2007,NIC002,Luisitio,Source Sample,,ICP-MS,1,,,,,,,,,,,,,,,,,,,33000,,,,,,,,,,,,,,,,,,,,,,,,,,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239.5,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Leach 1996,NZL001,Awana,Source Sample,,INAA,7,27000,3000,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,,4.2,1,,,,,,,,,,,,,,,,,9000,1000,0.9,0.1,,,,,,,0.8,0.2,,,,,190,5,,,,,158,37.5,,,0.2,0.1,9.1,1.6,675,178,37,3.4,62.2,8.1,34.3,8.5,,,,,6,0.7,0.5,0.1,6.3,0.3,0.5,0.1,4.5,0.1,0.9,0.1,,,18.3,0.4,3.8,1.7
